Model,Impl,Split,MAE,RMSE,MAPE,OPE,R2
holt_winters,statistical_val,val,8.589058138514085,10.66335274885643,9088629370.10861,0.809001314612239,0.000790016257372
ar,statistical_test,test,8.784733672231745,10.163835497127202,11702728693.39818,0.1975061955111419,0.0185035041138501
ma,statistical_test,test,8.969723749431918,10.32167786186051,11703589232.653154,0.1520434795626534,-0.0122181028823993
ar,statistical_val,val,9.103825519957065,10.540889886108072,3807101874.9830856,0.1128246595817751,0.023609004524985
ma,statistical_val,val,9.260163219652547,10.673865031721416,3788774215.7669854,0.0767067051721412,-0.0011810627871142
arima,statistical_val,val,10.880451931914608,13.369473821014438,313389211.32661253,1.0765839542139042,-0.5707166334887837
ses,statistical_val,val,11.777752348569663,14.476536643095146,1258716304.9695582,1.307168022966862,-0.8416137989441548
holt,statistical_val,val,11.8342079976462,14.539089528864496,1341333244.1469378,1.3193152941196649,-0.8575633517090158
holt_winters,statistical_test,test,12.40579165622557,15.077762016335024,17673064898.109196,1.2980958700686285,-1.159967751981816
arima,statistical_test,test,13.036285423704738,15.629939515728905,5970145851.733647,1.4336171750224156,-1.3210692264194166
ses,statistical_test,test,13.131810093233344,15.72909180838026,6189586466.491021,1.4494827340230536,-1.350611158705353
holt,statistical_test,test,13.263358870807988,15.86452580572586,6432742520.606204,1.470121852345814,-1.3912649031806548
